tweet_text,month_of_tweet
I'm at Kuwait Cancer Control Centre,6
Check my snap to know more about nutrition and cancer #kuwait #q8#conference @ Radisson Blu…,5
"A Bladder cancer is mine @ My Humble , Simple & Sweet Home ;) …",3
#نباطشية #هابي_غفارة #OnDuty @ Kuwait Cancer Control Center KCCC,2
I'm at Kuwait Cancer Control Center,2
Happy Valentine to all lovers @ Kuwait Cancer Control Center KCCC …,2
#Repost ・・・ Today during our Pilates class for cancer survivors. Thank you ladies for…,2
Just posted a photo @ Kuwait Cancer Control Center KCCC,2
Just posted a photo @ Kuwait Cancer Control Center KCCC,2
#Slogan of the day #iShe3oDevil @ Kuwait Cancer Control Center KCCC,1
GD morning peoples @ Kuwait Cancer Control Center KCCC,1
#PolicyWriting #Pharmacy #ترزي #AccreditationIsComing #GoT #الهنا_اللي_انا_فيه @ Kuwait Cancer…,1
In light of these events I wrote a poem about cancer.. ~ Did you… …,1
Good morning @ Kuwait Cancer Control Center KCCC,1
@ Kuwait Cancer Control Center KCCC …,1
صح @ Kuwait Cancer Control Center KCCC,1
I'm at Kuwait Cancer Control Center,1
#صباح_الحب #صباح_الخير @ Kuwait Cancer Control Center KCCC,3
#صباح_الخير #صباح_الحب @ Kuwait Cancer Control Center KCCC,2
Good morning @ Kuwait Cancer Control Center KCCC,2
One of the trillion reasons I love this hospital @ Kuwait Cancer… …,2
Good morning @ Kuwait Cancer Control Center KCCC,2
Good morning @ Kuwait Cancer Control Center KCCC,1
I'm at Kuwait Cancer Control Centre,8
Good morning wonderful followers @ Kuwait Cancer Control Center KCCC,7
What a beautiful morning @ Kuwait Cancer Control Center KCCC,7
I'm at Kuwait Cancer Control Centre,7
Just posted a photo @ Kuwait Cancer Control Center KCCC,7
"Finally i got it """" cancer (@ Harvey Nichols in Shuwaikh)",7
#HappyFeast #HappyEid #OnDuty #نباطشي #غفارة #عيد_الفطر #عيد_سعيد @ Kuwait Cancer Control Center…,7
Colorectal Cancer awareness month. #colon #cancer #screening #kuwait #GCC #polyp #tumor…,4
#الحمدلله_دائما_وابدا @ Kuwait Cancer Control Center KCCC,3
What a wonderful day to all @ Kuwait Cancer Control Center KCCC,3
Just posted a photo @ Kuwait Cancer Control Center KCCC …,3
Just posted a photo @ Kuwait Cancer Control Center KCCC …,3
يا حق @ Kuwait Cancer Control Center KCCC …,3
Just posted a photo @ Kuwait Cancer Control Center KCCC …,3
#Meeting #ConflictManagement @ Kuwait Cancer Control Center KCCC,3
Good morning plz smile @ Kuwait Cancer Control Center KCCC,1
I'm settling @ Kuwait Cancer Control Center KCCC …,1
Good morning have a wonderful weekend @ Kuwait Cancer Control Center KCCC,1
Good morning @ Kuwait Cancer Control Center,1
Starting to day and every day @ Kuwait Cancer Control Center Sheika Badriya Hospital,1
Good morning @ Kuwait Cancer Control Center Sheika Badriya Hospital,1
I'm at Kuwait Cancer Control Centre,1
#حقيقه @ Kuwait Cancer Control Center,1
New Day .. New Life .. New Job Wish me luck! @ Kuwait Cancer Control Center Sheika Badriya…,1
#صباح_الخير #صباح_الحب #صداقه @ Kuwait Cancer Control Center Sheika Badriya Hospital,12
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a video @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a video @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
Just posted a photo @ Kuwait Cancer Control Center KCCC …,5
#HospitalPharmacist #NaughtyPharmacist #MDT #Multidisciplinary @ Kuwait Cancer Control Center KCCC,4
"A *Busy Life makes Prayer Harder*, but a *Prayer makes a Busy Life Easy* @ Kuwait Cancer Control…",7
@ Kuwait Cancer Control Center KCCC,7
Good morning @ Kuwait Cancer Control Center KCCC,7
Good morning @ Kuwait Cancer Control Center KCCC,7
Just posted a photo @ Kuwait Cancer Control Center KCCC,7
Just posted a photo @ Kuwait Cancer Control Center KCCC,7
spoiling my friends day @ Kuwait Cancer Control Center KCCC,7
Refusing to grow up @ Kuwait Cancer Control Center KCCC,7
Good morning @ Kuwait Cancer Control Center KCCC,7
This is what I left the desk job for ... so happy @ Kuwait Cancer Control Center KCCC,7
I like the designs @ Kuwait Cancer Control Center KCCC,7
I'm at Kuwait Cancer Control Centre,7
Good morning have a lovely weekend @ Kuwait Cancer Control Center KCCC,7
I'm at Kuwait Cancer Control Centre,7
رائع @ Kuwait Cancer Control Center KCCC,7
Amen @ Kuwait Cancer Control Center KCCC,7
Good morning @ Kuwait Cancer Control Center KCCC,7
Quotes on Dua'a's desk @ Kuwait Cancer Control Center KCCC,7
I'm at Kuwait Cancer Control Centre,6
I'm at Kuwait Cancer Control Centre,6
Just posted a video @ Kuwait Cancer Control Center,12
Just posted a photo @ Kuwait Cancer Control Center,12
I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give… …,12
I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give…,12
I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give…,12
I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give…,12
We intend to populate Instagram with children characters for child cancer awareness…,11
#العشير #مهندسنا #الوداع @ Kuwait Cancer Control Center KCCC …,11
"""I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give…",11
"""I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give…",11
"""I intend to populate Instagram with children's characters for Child Cancer Awareness Week. Give…",11
I'm at Kuwait Cancer Control Centre,11
I intend to populate the instagram with children's characters for Child Cancer Awareness Week.…,11
I'm at Kuwait Cancer Control Centre,11
Really this guy still trying to look good kahit in pain get well soon best @ Kuwait Cancer…,11
Just posted a photo @ Kuwait Cancer Control Center Sheika Badriya Hospital,11
Just posted a photo @ Kuwait Cancer Control Center Sheika Badriya Hospital,11
I'm at Kuwait Cancer Control Centre,11
#crazysocksmonday Super socks for a super job. #crazysocks #dc #dccomics @ Kuwait Cancer Control…,11
Words of love @ Kuwait Cancer Control Center KCCC,8
Love love love . Words of love @ Kuwait Cancer Control Center KCCC,8
I'm at Kuwait Cancer Control Centre,8
@ Kuwait Cancer Control Center Sheika Badriya Hospital,8
Nice one @ Kuwait Cancer Control Center Sheika Badriya Hospital,8
I hate #cancer @ Asia/Kuwait …,5
For sure @ Kuwait Cancer Control Center KCCC,5
Brilliant lecture by Dr Naif Al-Mutawa @ Kuwait Cancer Control Center KCCC,5
Good morning @ Kuwait Cancer Control Center KCCC,5
#صباح_الخير @ Kuwait Cancer Control Center KCCC,5
@ Kuwait Cancer Control Center KCCC,5
Today's visit to Kuwait's Cancer Control Center lecturing about Strength & Healthy Lifestyle…,5
Just posted a photo @ Kuwait Cancer Control Center KCCC,5
Just posted a photo @ Kuwait Cancer Control Center KCCC,5
Good morning @ Kuwait Cancer Control Center KCCC,5
Just posted a photo @ Kuwait Cancer Control Center KCCC,5
#صباح_الحب @ Kuwait Cancer Control Center KCCC,5
I'm at Kuwait Cancer Control Centre,4
Just posted a photo @ Kuwait Cancer Control Center KCCC,4
Just posted a photo @ Kuwait Cancer Control Center KCCC,4
Good morning @ Kuwait Cancer Control Center KCCC,4
#حكمه @ Kuwait Cancer Control Center KCCC,4
#goodmorningpost @ Kuwait Cancer Control Center KCCC,4
I'm at Kuwait Cancer Control Centre pic.twitter.com/KgTqTsQOsW,4
(@ Kuwait Cancer Control Centre),4
"You are stronger than cancer, you are prettier than lavender… …",10
"Cell sorter by imec for cancer cell (Part 3) Amazing technology @ Sheraton Kuwait, a Luxury…",10
"Cell sorter by imec for cancer cell (Part 2) Amazing technology @ Sheraton Kuwait, a Luxury…",10
"Cell sorter by imec for cancer cell (Part 1) Amazing technology @ Sheraton Kuwait, a Luxury…",10
Breast cancer awareness campaign from YOU CAN.. Check my story and snaps @ Laila…,10
I'm at Kuwait Cancer Control Centre pic.twitter.com/c3LRRBFHSR,10
Support Breast Cancer Awareness Month! … …,10
Safir Hotel & Residences Kuwait - Fintas initiative to participate in the Breast Cancer…,10
"#Repost makirest with repostapp ・・・ To mark the Breast Cancer Awareness Month, #makirest will…",10
"October is Breast Cancer Awareness Month, which is an annual campaign to increase awareness of…",10
"Breast cancer conference .. (@ Courtyard Marriott in Dasman, Al Asimah)",9
I'm at Kuwait Cancer Control Centre,9
Just posted a photo @ Kuwait Cancer Control Center,11
Just posted a photo @ Kuwait Cancer Control Center Sheika Badriya Hospital,11
I'm at Kuwait Cancer Control Centre …,11
Fred stopped by Oerigo and brought his wife a wig. She is a battling cancer dealing with chemo.…,10
The dumbest class ever was chosen to present breast cancer… …,10
"Support breast cancer Pink Day (@ A'Takamul International School in Subah alsalem, Mubarak Al-Kabeer)",10
I'm at Kuwait Cancer Control Centre,10
LIKE A Girl @ Kuwait Cancer Control Center KCCC …,10
Breast cancer awareness @ Kuwait Cancer Control Center KCCC …,10
Just posted a photo @ Kuwait Cancer Control Center KCCC,10
In support with Breast Cancer Awareness Month. AC-K goes pink. #acstudentlife #ackuwait…,10
I'm at Kuwait Cancer Control Centre,10
Well done . Bless u @ Kuwait Cancer Control Center KCCC,10
I'm at Kuwait Cancer Control Centre,10
Breast cancer awareness month thank you @ Kuwait Petroleum Corporation,10
"""Are you crazy?!"" You know smoking causes lung cancer, emphysema,… …",6
Good morning lovely people have a wonderful weekend @ Kuwait Cancer Control Center KCCC,6
Good morning @ Kuwait Cancer Control Center KCCC,6
Just posted a photo @ Kuwait Cancer Control Center KCCC,6
Just posted a photo @ Kuwait Cancer Control Center KCCC,6
Cancer,6
Nice one @ Kuwait Cancer Control Center KCCC,6
Good morning @ Kuwait Cancer Control Center KCCC,6
Good morning @ Kuwait Cancer Control Center KCCC,6
Good morning everyone. Have a nice day @ Kuwait Cancer Control Center KCCC,6
#صباح_الخير @ Kuwait Cancer Control Center KCCC,6
*Money* might make you *Wealthy* but *Friends* make you *Rich* *Good Morning* @ Kuwait Cancer…,5
#مبارك_عليكم_الشهر @ Kuwait Cancer Control Center KCCC,5
Good morning @ Kuwait Cancer Control Center KCCC,5
I'm at Kuwait Cancer Control Centre,5
I'm at Kuwait Cancer Control Centre,9
I'm at Kuwait Cancer Control Centre,8
Just posted a photo @ Kuwait Cancer Control Center KCCC,8
"Interesting facts about Cancer personality - Part 2 - Behind Cancer fake smile, is…",8
I'm at Kuwait Cancer Control Centre,8
Interesting facts about Cancer personality - Cancer are unforgiving when someone betray…,8
#الحمد_لله @ Kuwait Cancer Control Center KCCC,8
Just posted a photo @ Kuwait Cancer Control Center KCCC,8
I'm at Kuwait Cancer Control Centre,8
I'm at Kuwait Cancer Control Centre,8
Just posted a photo @ Kuwait Cancer Control Center KCCC,8
@ Kuwait Cancer Control Center KCCC,8
'Purchase with a Purpose' It is OCTOBER 'Breast Cancer Awareness' month. This is our second…,10
Participating in the #BreastCancerAwareness event at the Kuwait Cancer Control Centre (KCCC),10
"October is Breast Cancer Awareness Month, an annual campaign to raise awareness of breast cancer…",10
Just posted a video @ Kuwait Cancer Control Center KCCC,9
صح @ Kuwait Cancer Control Center KCCC,9
Just posted a video @ Kuwait Cancer Control Center KCCC,9
Just posted a photo @ Kuwait Cancer Control Center KCCC,9
I'm at Kuwait Cancer Control Centre,9
Just posted a video @ Kuwait Cancer Control Center KCCC,9
Just posted a photo @ Kuwait Cancer Control Center KCCC,9
Just posted a photo @ Kuwait Cancer Control Center KCCC,9
I'm at Kuwait Cancer Control Centre,9
Good morning @ Kuwait Cancer Control Center KCCC,4
I'm at Kuwait Cancer Control Centre,4
I'm at Kuwait Cancer Control Centre,4
#صباح_الحب @ Kuwait Cancer Control Center KCCC,4
Good morning @ Kuwait Cancer Control Center KCCC,4
Last day of rotation (@ Kuwait Cancer Control Centre),3
I'm at Kuwait Cancer Control Centre,3
I'm at Kuwait Cancer Control Centre,3
I'm at Kuwait Cancer Control Centre,3
I'm at Kuwait Cancer Control Centre,3
I'm at Kuwait Cancer Control Centre,3
#مساء_الحب #مساء_النور @ Kuwait Cancer Control Center KCCC,3
Just posted a photo @ Kuwait Cancer Control Center KCCC,12
#هاروکی_موراکامی @ Kuwait Cancer Control Center KCCC,12
#نجيب_محفوظ @ Kuwait Cancer Control Center KCCC,12
#عشق @ Kuwait Cancer Control Center KCCC,12
#bescaredandtryanyhow #tobymac #focus #willtodoit @ Kuwait Cancer… …,12
Very much sooo.... @ Kuwait Cancer Control Center KCCC,12
Thanks Rose for beautiful Xmas flowers @ Kuwait Cancer Control Center KCCC,12
#Repost fluffy.bird (get_repost) ・・・ Yaro and Kiki @ Kuwait Cancer Control Center KCCC,12
I'm at Kuwait Cancer Control Centre,12
Just posted a photo @ Kuwait Cancer Control Center KCCC,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Center,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
#لا_تبكي_على_الكود_المسكوب #الداشبورد #مكملين @ Kuwait Cancer Control Center KCCC,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
Medication Reconciliation at Kuwait Cancer Control Center #MedRec #KCCC #PatientSafety…,11
Im glad to announce that ill be supporting a cancer defeat charity event #Repost turbo.event…,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,11
I'm at Kuwait Cancer Control Centre,10
I'm at Kuwait Cancer Control Centre,10
"Today, we prevented two women from getting #cancer @ Jumeirah Messilah Beach Hotel & Spa",10
I'm at Kuwait Cancer Control Centre,10
I'm at Kuwait Cancer Control Centre,10
I'm at Kuwait Cancer Control Centre,10
I'm at Kuwait Cancer Control Centre,10
I'm at Kuwait Cancer Control Centre,10
Never too late. @ Kuwait Cancer Control Center KCCC,10
What a lovely princess my granddaughter Talia . Bless her @ Kuwait Cancer Control Center KCCC,10
Show your support to our breast cancer awareness campaign by attending Dalal AlMudhaf Zumba…,10
Just posted a photo @ Kuwait Cancer Control Center KCCC,10
Learn how to avoid Breast Cancer from your Future #ACKGoesPink #breastcancerawareness…,10
"Our Corn is Antioxidant activity, which helps protect the body from cancer and heart disease, is…",10
DONE!! #كله_طلع_الغريفات @ Kuwait Cancer Control Center KCCC,10
Breast cancer awareness month. #AlHamraCSR @ Alhamra Tower & Luxury… …,10
